1,1,0.000,0.000,1.010
1,1002,0.361,0.023,1.033
1,1009,0.363,0.023,1.033
1,101,0.031,-0.025,1.024
1,1015,0.366,0.023,1.034
1,1022,0.368,0.023,1.034
1,1029,0.370,0.022,1.035
1,1035,0.373,0.022,1.035
1,1042,0.375,0.022,1.035
1,1049,0.377,0.021,1.036
1,1055,0.380,0.021,1.036
1,1062,0.382,0.021,1.037
1,1069,0.384,0.020,1.037
1,1075,0.387,0.020,1.038
1,108,0.033,-0.025,1.025
1,1082,0.389,0.020,1.038
1,1089,0.391,0.019,1.039
1,1095,0.394,0.019,1.039
1,1102,0.396,0.018,1.040
1,1109,0.398,0.018,1.040
1,1115,0.401,0.017,1.041
1,1122,0.403,0.017,1.041
1,1129,0.406,0.017,1.042
1,1135,0.408,0.016,1.042
1,1142,0.411,0.016,1.043
1,1149,0.413,0.015,1.043
1,115,0.035,-0.025,1.025
1,1155,0.416,0.015,1.044
1,1162,0.418,0.014,1.044
1,1169,0.421,0.014,1.045
1,1175,0.423,0.013,1.045
1,1182,0.426,0.013,1.046
1,1189,0.428,0.012,1.046
1,1196,0.431,0.011,1.047
1,1202,0.434,0.011,1.047
1,1209,0.436,0.010,1.047
1,121,0.037,-0.025,1.025
1,1216,0.439,0.010,1.048
1,1222,0.441,0.009,1.048
1,1229,0.444,0.008,1.048
1,1236,0.447,0.008,1.049
1,1242,0.449,0.007,1.049
1,1249,0.452,0.007,1.049
1,1256,0.455,0.006,1.049
1,1262,0.457,0.005,1.049
1,1269,0.460,0.005,1.049
1,1276,0.463,0.004,1.050
1,128,0.039,-0.024,1.025
1,1282,0.465,0.003,1.050
1,1289,0.468,0.002,1.049
1,1296,0.471,0.002,1.049
1,13,0.000,-0.026,1.024
1,1302,0.474,0.001,1.049
1,1309,0.476,0.000,1.049
1,1316,0.479,-0.001,1.049
1,1322,0.482,-0.001,1.049
1,1329,0.484,-0.002,1.048
1,1336,0.487,-0.003,1.048
1,1342,0.490,-0.004,1.048
1,1349,0.493,-0.004,1.047
1,135,0.042,-0.024,1.025
1,1356,0.496,-0.005,1.047
1,1362,0.499,-0.006,1.046
1,1369,0.502,-0.007,1.046
1,1376,0.505,-0.007,1.045
1,1382,0.508,-0.008,1.044
1,1389,0.511,-0.009,1.044
1,1396,0.514,-0.010,1.043
1,14,0.004,-0.026,1.024
1,1402,0.517,-0.010,1.042
1,1409,0.519,-0.011,1.042
1,141,0.044,-0.024,1.026
1,1416,0.522,-0.012,1.041
1,1422,0.525,-0.012,1.040
1,1429,0.527,-0.013,1.040
1,1436,0.530,-0.014,1.039
1,1442,0.533,-0.015,1.038
1,1449,0.535,-0.015,1.038
1,1456,0.538,-0.016,1.037
1,1462,0.541,-0.016,1.036
1,1469,0.543,-0.017,1.036
1,1476,0.546,-0.018,1.035
1,148,0.046,-0.024,1.026
1,1483,0.549,-0.018,1.035
1,1489,0.551,-0.019,1.034
1,1496,0.554,-0.019,1.033
1,1502,0.556,-0.020,1.033
1,1509,0.558,-0.020,1.032
1,1516,0.561,-0.021,1.032
1,1522,0.564,-0.021,1.031
1,1529,0.566,-0.021,1.031
