25,1,80620.0
25,3,73640.0
25,5,72400.0
25,7,71800.0
25,9,75680.0
75,1,72280.0
75,3,60640.0
75,5,55620.0
75,7,51800.0
75,9,53900.0
125,1,68420.0
125,3,55860.0
125,5,49300.0
125,7,45040.0
125,9,44380.0
175,1,67800.0
175,3,52460.0
175,5,44500.0
175,7,41420.0
175,9,39340.0
225,1,66560.0
225,3,52500.0
225,5,43420.0
225,7,38320.0
225,9,36300.0
275,1,67940.0
275,3,51520.0
275,5,41340.0
275,7,34900.0
275,9,31620.0
325,1,67960.0
325,3,49500.0
325,5,39880.0
325,7,-1
325,9,-1
375,1,66920.0
375,3,49420.0
375,5,-1
375,7,-1
375,9,-1
425,1,67620.0
425,3,-1
425,5,-1
425,7,-1
425,9,-1
475,1,-1
475,3,-1
475,5,-1
475,7,-1
475,9,-1
525,1,-1
525,3,-1
525,5,-1
525,7,-1
525,9,-1
